date;color
2023-01-01;BLEU
2023-01-02;BLEU
2023-01-03;BLEU
2023-01-04;BLEU
2023-01-05;BLEU
2023-01-06;BLEU
2023-01-07;BLEU
2023-01-08;BLEU
2023-01-09;BLEU
2023-01-10;BLEU
2023-01-11;BLEU
2023-01-12;BLEU
2023-01-13;BLEU
2023-01-14;BLEU
2023-01-15;BLEU
2023-01-16;BLANC
2023-01-17;ROUGE
2023-01-18;ROUGE
2023-01-19;ROUGE
2023-01-20;ROUGE
2023-01-21;BLANC
2023-01-22;BLEU
2023-01-23;ROUGE
2023-01-24;ROUGE
2023-01-25;ROUGE
2023-01-26;ROUGE
2023-01-27;ROUGE
2023-01-28;BLANC
2023-01-29;BLEU
2023-01-30;ROUGE
2023-01-31;ROUGE
2023-02-01;BLANC
2023-02-02;BLANC
2023-02-03;BLANC
2023-02-04;BLANC
2023-02-05;BLEU
2023-02-06;ROUGE
2023-02-07;ROUGE
2023-02-08;ROUGE
2023-02-09;ROUGE
2023-02-10;ROUGE
2023-02-11;BLANC
2023-02-12;BLEU
2023-02-13;BLANC
2023-02-14;BLANC
2023-02-15;BLANC
2023-02-16;BLANC
2023-02-17;BLEU
2023-02-18;BLEU
2023-02-19;BLEU
2023-02-20;BLEU
2023-02-21;BLEU
2023-02-22;BLANC
2023-02-23;BLANC
2023-02-24;BLANC
2023-02-25;BLEU
2023-02-26;BLEU
2023-02-27;BLANC
2023-02-28;BLANC
2023-03-01;ROUGE
2023-03-02;ROUGE
2023-03-03;BLANC
2023-03-04;BLEU
2023-03-05;BLEU
2023-03-06;BLANC
2023-03-07;BLANC
2023-03-08;BLEU
2023-03-09;BLEU
2023-03-10;BLEU
2023-03-11;BLEU
2023-03-12;BLEU
2023-03-13;BLEU
2023-03-14;BLEU
2023-03-15;BLEU
2023-03-16;BLEU
2023-03-17;BLEU
2023-03-18;BLEU
2023-03-19;BLEU
2023-03-20;BLEU
2023-03-21;BLEU
2023-03-22;BLEU
2023-03-23;BLEU
2023-03-24;BLEU
2023-03-25;BLEU
2023-03-26;BLEU
2023-03-27;BLEU
2023-03-28;BLEU
2023-03-29;BLEU
2023-03-30;BLEU
2023-03-31;BLEU
2023-04-01;BLEU
2023-04-02;BLEU
2023-04-03;BLEU
2023-04-04;BLANC
2023-04-05;BLANC
2023-04-06;BLANC
2023-04-07;BLANC
2023-04-08;BLEU
2023-04-09;BLEU
2023-04-10;BLEU
2023-04-11;BLEU
2023-04-12;BLEU
2023-04-13;BLANC
2023-04-14;BLEU
2023-04-15;BLEU
2023-04-16;BLEU
2023-04-17;BLEU
2023-04-18;BLEU
2023-04-19;BLEU
2023-04-20;BLEU
2023-04-21;BLEU
2023-04-22;BLEU
2023-04-23;BLEU
2023-04-24;BLEU
2023-04-25;BLANC
2023-04-26;BLANC
2023-04-27;BLEU
2023-04-28;BLEU
2023-04-29;BLEU
2023-04-30;BLEU
2023-05-01;BLEU
2023-05-02;BLEU
2023-05-03;BLEU
2023-05-04;BLEU
2023-05-05;BLEU
2023-05-06;BLEU
2023-05-07;BLEU
2023-05-08;BLEU
2023-05-09;BLEU
2023-05-10;BLEU
2023-05-11;BLEU
2023-05-12;BLEU
2023-05-13;BLEU
2023-05-14;BLEU
2023-05-15;BLEU
2023-05-16;BLEU
2023-05-17;BLEU
2023-05-18;BLEU
2023-05-19;BLEU
2023-05-20;BLEU
2023-05-21;BLEU
2023-05-22;BLEU
2023-05-23;BLEU
2023-05-24;BLEU
2023-05-25;BLEU
2023-05-26;BLEU
2023-05-27;BLEU
2023-05-28;BLEU
2023-05-29;BLEU
2023-05-30;BLEU
2023-05-31;BLEU
2023-06-01;BLEU
2023-06-02;BLEU
2023-06-03;BLEU
2023-06-04;BLEU
2023-06-05;BLEU
2023-06-06;BLEU
2023-06-07;BLANC
2023-06-08;BLANC
2023-06-09;BLANC
2023-06-10;BLEU
2023-06-11;BLEU
2023-06-12;BLANC
2023-06-13;BLEU
2023-06-14;BLEU
2023-06-15;BLEU
2023-06-16;BLEU
2023-06-17;BLEU
2023-06-18;BLEU
2023-06-19;BLEU
2023-06-20;BLEU
2023-06-21;BLEU
2023-06-22;BLEU
2023-06-23;BLEU
2023-06-24;BLEU
2023-06-25;BLEU
2023-06-26;BLEU
2023-06-27;BLEU
2023-06-28;BLEU
2023-06-29;BLEU
2023-06-30;BLEU
2023-07-01;BLEU
2023-07-02;BLEU
2023-07-03;BLEU
2023-07-04;BLEU
2023-07-05;BLEU
2023-07-06;BLEU
2023-07-07;BLEU
2023-07-08;BLEU
2023-07-09;BLEU
2023-07-10;BLEU
2023-07-11;BLEU
2023-07-12;BLEU
2023-07-13;BLEU
2023-07-14;BLEU
2023-07-15;BLEU
2023-07-16;BLEU
2023-07-17;BLEU
2023-07-18;BLEU
2023-07-19;BLEU
2023-07-20;BLEU
2023-07-21;BLEU
2023-07-22;BLEU
2023-07-23;BLEU
2023-07-24;BLEU
2023-07-25;BLEU
2023-07-26;BLEU
2023-07-27;BLEU
2023-07-28;BLEU
2023-07-29;BLEU
2023-07-30;BLEU
2023-07-31;BLEU
2023-08-01;BLEU
2023-08-02;BLEU
2023-08-03;BLEU
2023-08-04;BLEU
2023-08-05;BLEU
2023-08-06;BLEU
2023-08-07;BLEU
2023-08-08;BLEU
2023-08-09;BLEU
2023-08-10;BLEU
2023-08-11;BLEU
2023-08-12;BLEU
2023-08-13;BLEU
2023-08-14;BLEU
2023-08-15;BLEU
2023-08-16;BLEU
2023-08-17;BLEU
2023-08-18;BLEU
2023-08-19;BLEU
2023-08-20;BLEU
2023-08-21;BLEU
2023-08-22;BLEU
2023-08-23;BLEU
2023-08-24;BLEU
2023-08-25;BLEU
2023-08-26;BLEU
2023-08-27;BLEU
2023-08-28;BLEU
2023-08-29;BLEU
2023-08-30;BLEU
2023-08-31;BLEU
2023-09-01;BLEU
2023-09-02;BLEU
2023-09-03;BLEU
2023-09-04;BLEU
2023-09-05;BLEU
2023-09-06;BLEU
2023-09-07;BLEU
2023-09-08;BLEU
2023-09-09;BLEU
2023-09-10;BLEU
2023-09-11;BLEU
2023-09-12;BLEU
2023-09-13;BLEU
2023-09-14;BLEU
2023-09-15;BLEU
2023-09-16;BLEU
2023-09-17;BLEU
2023-09-18;BLEU
2023-09-19;BLEU
2023-09-20;BLEU
2023-09-21;BLEU
2023-09-22;BLEU
2023-09-23;BLEU
2023-09-24;BLEU
2023-09-25;BLEU
2023-09-26;BLEU
2023-09-27;BLEU
2023-09-28;BLEU
2023-09-29;BLEU
2023-09-30;BLEU
2023-10-01;BLEU
2023-10-02;BLEU
2023-10-03;BLEU
2023-10-04;BLEU
2023-10-05;BLEU
2023-10-06;BLEU
2023-10-07;BLEU
2023-10-08;BLEU
2023-10-09;BLEU
2023-10-10;BLEU
2023-10-11;BLEU
2023-10-12;BLEU
2023-10-13;BLEU
2023-10-14;BLEU
2023-10-15;BLEU
2023-10-16;BLEU
2023-10-17;BLEU
2023-10-18;BLEU
2023-10-19;BLEU
2023-10-20;BLEU
2023-10-21;BLEU
2023-10-22;BLEU
2023-10-23;BLEU
2023-10-24;BLEU
2023-10-25;BLEU
2023-10-26;BLEU
2023-10-27;BLEU
2023-10-28;BLEU
2023-10-29;BLEU
2023-10-30;BLEU
2023-10-31;BLEU
2023-11-01;BLEU
2023-11-02;BLEU
2023-11-03;BLEU
2023-11-04;BLEU
2023-11-05;BLEU
2023-11-06;BLEU
2023-11-07;BLEU
2023-11-08;BLEU
2023-11-09;BLEU
2023-11-10;BLEU
2023-11-11;BLEU
2023-11-12;BLEU
2023-11-13;BLEU
2023-11-14;BLEU
2023-11-15;BLEU
2023-11-16;BLEU
2023-11-17;BLEU
2023-11-18;BLEU
2023-11-19;BLEU
2023-11-20;BLEU
2023-11-21;BLEU
2023-11-22;BLANC
2023-11-23;BLEU
2023-11-24;BLEU
2023-11-25;BLEU
2023-11-26;BLEU
2023-11-27;BLANC
2023-11-28;BLANC
2023-11-29;ROUGE
2023-11-30;BLANC
2023-12-01;ROUGE
2023-12-02;BLANC
2023-12-03;BLEU
2023-12-04;BLEU
2023-12-05;BLANC
2023-12-06;ROUGE
2023-12-07;BLANC
2023-12-08;BLANC
2023-12-09;BLEU
2023-12-10;BLEU
2023-12-11;BLEU
2023-12-12;BLEU
2023-12-13;BLEU
2023-12-14;BLANC
2023-12-15;BLANC
2023-12-16;BLANC
2023-12-17;BLEU
2023-12-18;ROUGE
2023-12-19;BLANC
2023-12-20;BLEU
2023-12-21;BLEU
2023-12-22;BLEU
2023-12-23;BLEU
2023-12-24;BLEU
2023-12-25;BLEU
2023-12-26;BLEU
2023-12-27;BLEU
2023-12-28;BLEU
2023-12-29;BLEU
2023-12-30;BLEU
2023-12-31;BLEU
